"","competition","trial","culture_conditions","Condition","Timepoint_hr","CFU_per_mL_total","mean_CFU_per_mL","log_mean_CFU_per_mL","sem_CFU_per_mL","log_sem_CFU_per_mL","fold_change","log_fold_change","mean_fold_change","mean_log_fold_change"
"86","PA01_Kp","trial_1","spent","KPPR1_self_spent","T24",5.6e+07,1.8e+08,8.25527250510331,59005084.5266745,7.77088943684103,16.4705882352941,1.21670910996395,60.4052287581699,1.78107453336509
"87","PA01_Kp","trial_1","spent","KPPR1_spent_PA01","T24",3.6e+08,154840000,8.18988316264692,74118726.378696,7.86992794799904,112.5,2.05115252244738,47.7089743589744,1.67860008025573
"88","PA01_Kp","trial_1","co-culture","KPPR1_PA01","T24",2.8e+10,7.488e+09,9.87436583573005,5181866845.06655,9.71448624902113,6666.66666666667,3.82390874094432,1963.47308488613,3.29302495237723
"89","PA01_Kp","trial_2","control","KPPR1_fresh_LB","T0",3e+06,3360000,6.52633927738984,263818.119165458,5.42130461980528,NA,NA,NA,NA
"90","PA01_Kp","trial_2","spent","KPPR1_self_spent","T0",2400000,3120000,6.49415459401844,205912.60281974,5.31368292829637,NA,NA,NA,NA
"91","PA01_Kp","trial_2","spent","KPPR1_spent_PA01","T0",3600000,3400000,6.53147891704226,296647.939483827,5.47224133607508,NA,NA,NA,NA
"92","PA01_Kp","trial_2","co-culture","KPPR1_PA01","T0",3e+06,3560000,6.55144999797287,354400.902933387,5.54949481970059,NA,NA,NA,NA
"93","PA01_Kp","trial_2","control","KPPR1_fresh_LB","T24",3.8e+10,2.644e+10,10.4222614508136,6968041331.67994,9.84311071807126,12666.6666666667,4.10266234189715,8315.5303030303,3.9198899505292
"94","PA01_Kp","trial_2","spent","KPPR1_self_spent","T24",2e+08,1.8e+08,8.25527250510331,59005084.5266745,7.77088943684103,83.3333333333333,1.92081875395238,60.4052287581699,1.78107453336509
"95","PA01_Kp","trial_2","spent","KPPR1_spent_PA01","T24",3e+08,154840000,8.18988316264692,74118726.378696,7.86992794799904,83.3333333333333,1.92081875395238,47.7089743589744,1.67860008025573
"96","PA01_Kp","trial_2","co-culture","KPPR1_PA01","T24",3e+09,7.488e+09,9.87436583573005,5181866845.06655,9.71448624902113,1000,3,1963.47308488613,3.29302495237723
