"","Strain","Sample","Day","Sex","CFU_per_g_total","LOD","Tissue","Group","Strain_ref","Day_cont","log_CFU_per_g","trial","mean_log_CFU_per_g","sem_log_CFU_per_g"
"30","JV1","feces_M65","D9","M",499519692.603266,"No","feces","exp","JV1","9",8.69855261412426,"trial_1",7.85048573504853,0.26580127088292
"31","JV1","feces_M61","D10","M",466019417.475728,"No","feces","exp","JV1","10",8.66840401267041,"trial_1",7.76401227844358,0.496829870736537
"32","JV1","feces_M62","D10","M",28592927.0127915,"No","feces","exp","JV1","10",7.45625861567408,"trial_1",7.76401227844358,0.496829870736537
"33","JV1","feces_M63","D10","M",6181015452.53864,"No","feces","exp","JV1","10",9.79105982932939,"trial_1",7.76401227844358,0.496829870736537
"34","JV1","feces_M64","D10","M",4745762711.86441,"No","feces","exp","JV1","10",9.67630601970007,"trial_1",7.76401227844358,0.496829870736537
"35","JV1","feces_M65","D10","M",4960317460.31746,"No","feces","exp","JV1","10",9.69550947222651,"trial_1",7.76401227844358,0.496829870736537
"36","JV1","feces_M61","D13","M",18881626724.764,"No","feces","exp","JV1","13",10.2760394077139,"trial_1",8.57550456784669,0.481087748883566
"37","JV1","feces_M62","D13","M",6535947.71241834,"No","feces","exp","JV1","13",6.8153085691824,"trial_1",8.57550456784669,0.481087748883566
"38","JV1","feces_M63","D13","M",23842274186.1531,"No","feces","exp","JV1","13",10.3773476780561,"trial_1",8.57550456784669,0.481087748883566
"39","JV1","feces_M64","D13","M",58139534883.7208,"No","feces","exp","JV1","13",10.7644715530925,"trial_1",8.57550456784669,0.481087748883566
"40","JV1","feces_M65","D13","M",5988023952.09579,"No","feces","exp","JV1","13",9.77728352885241,"trial_1",8.57550456784669,0.481087748883566
"41","JV1","cecum_M61","D14","M",26823134953.8977,"No","cecum","exp","JV1","14",10.4285095346496,"trial_1",7.96545294927918,0.594807835526305
"42","JV1","cecum_M62","D14","M",4972270.032511,"No","cecum","exp","JV1","14",6.69655470614116,"trial_1",7.96545294927918,0.594807835526305
"43","JV1","cecum_M63","D14","M",17187667848.3188,"No","cecum","exp","JV1","14",10.2352169523521,"trial_1",7.96545294927918,0.594807835526305
"44","JV1","cecum_M64","D14","M",1756311745.3348,"No","cecum","exp","JV1","14",9.24460160568293,"trial_1",7.96545294927918,0.594807835526305
"45","JV1","cecum_M65","D14","M",34332084893.8826,"No","cecum","exp","JV1","14",10.535700177746,"trial_1",7.96545294927918,0.594807835526305
"46","JV1","feces_M66","D8","F",53066.6666666667,"Yes","feces","ctrl","JV1","8",4.72482180868199,"trial_1",7.33915391401167,0.732278283595144
"47","JV1","feces_M67","D8","F",79734219.2691032,"No","feces","ctrl","JV1","8",7.90164474611776,"trial_1",7.33915391401167,0.732278283595144
"48","JV1","feces_M68","D8","F",66333.3333333333,"Yes","feces","ctrl","JV1","8",4.82173182169004,"trial_1",7.33915391401167,0.732278283595144
"49","JV1","feces_M69","D8","F",78895.4635108488,"No","feces","ctrl","JV1","8",4.89705203199463,"trial_1",7.33915391401167,0.732278283595144
"50","JV1","feces_M70","D8","F",26115.4855643046,"Yes","feces","ctrl","JV1","8",4.41689810507011,"trial_1",7.33915391401167,0.732278283595144
"51","JV1","feces_M66","D9","F",4967320.26143778,"No","feces","ctrl","JV1","9",6.69612216146318,"trial_1",7.95390604978675,0.761210074567706
"52","JV1","feces_M68","D9","F",31289.3081761006,"Yes","feces","ctrl","JV1","9",4.49539596076129,"trial_1",7.95390604978675,0.761210074567706
"53","JV1","feces_M69","D9","F",269360269.360269,"No","feces","ctrl","JV1","9",8.43033353767473,"trial_1",7.95390604978675,0.761210074567706
"54","JV1","feces_M70","D9","F",13373.6559139785,"Yes","feces","ctrl","JV1","9",4.12625014519985,"trial_1",7.95390604978675,0.761210074567706
"55","JV1","feces_M66","D10","F",1066666666.66667,"No","feces","ctrl","JV1","10",9.02802872360024,"trial_1",9.15982183837129,0.105217884141268
"56","JV1","feces_M69","D10","F",808080808.080805,"No","feces","ctrl","JV1","10",8.90745479239439,"trial_1",9.15982183837129,0.105217884141268
"57","JV1","feces_M70","D10","F",3625377643.50454,"No","feces","ctrl","JV1","10",9.55935325227191,"trial_1",9.15982183837129,0.105217884141268
"58","JV1","feces_M66","D13","F",6529209621.9931,"No","feces","ctrl","JV1","13",9.81486061196692,"trial_1",8.57906760069295,0.890116586588122
