Loc_ID,Pa14 gene locus,PA01 gene locus,Gene name,Gene description,z-score trial 1,z-score trial 2
PAMr_nr_mas_04_2_G01,PA14_68870,PA5215,gcvT1,glycine-cleavage system protein T1,-0.6215809543804321,-0.09652877168102038
PAMr_nr_mas_04_2_G02,PA14_47330,PA1307,NA,putative glutamine amidotransferase,-0.5585955253258437,-0.17132239181138764
PAMr_nr_mas_04_2_G03,PA14_37550,PA2085,NA,putative ring-hydroxylating dioxygenase small subunit,-0.01568973286914472,-0.4398671815407971
PAMr_nr_mas_04_2_G04,PA14_41140,PA1809,NA,"putative ABC transporter, permease protein",0.2796841786240896,0.6465742702351719
PAMr_nr_mas_04_2_G06,PA14_10700,PA4117,NA,putative bacteriophytochrome,0.15520367566275464,0.4770868923392191
PAMr_nr_mas_04_2_G07,PA14_16070,PA3736,hom,homoserine dehydrogenase,-0.100808946913794,0.4897029334998069
PAMr_nr_mas_04_2_G08,PA14_52740,PA0893,argR,transcriptional regulator ArgR,-0.34559158502697684,-0.02205581495184135
PAMr_nr_mas_04_2_G09,PA14_43280,PA1642,selD,selenophosphate synthetase,-0.39114055768795186,0.12790506652981
PAMr_nr_mas_04_2_G10,PA14_70060,PA5306,NA,putative lipoprotein,-0.4819646164137035,0.15249410979580366
PAMr_nr_mas_04_2_G11,PA14_18910,PA3492,NA,"putative NADH:ubiquinone oxidoreductase, subunit RnfD",-0.32356266901349184,-0.500731373551316
PAMr_nr_mas_04_2_G12,PA14_24370,PA3076,NA,hypothetical protein,-0.24419548417797668,-0.5215950230242861
PAMr_nr_mas_04_2_H01,PA14_26870,PA2878,NA,conserved hypothetical protein,0.14981878382328645,0.3000867429856768
PAMr_nr_mas_04_2_H02,PA14_04340,PA0333,NA,putative epimerase,-0.41046258564395566,-0.03087842287514655
PAMr_nr_mas_04_2_H03,PA14_09150,PA4236,katA,catalase,-0.3036783842454604,-0.0361775610956889
PAMr_nr_mas_04_2_H04,PA14_48170,PA1242,NA,conserved hypothetical protein,0.26383322064701115,-0.14997761918363167
PAMr_nr_mas_04_2_H05,PA14_55880,PA4301,NA,putative pilus assembly protein,-0.684984450220212,0.32070370453159075
PAMr_nr_mas_04_2_H06,PA14_28510,PA2752,NA,putative membrane protein,-1.8019682782505735,-0.34034219339703053
PAMr_nr_mas_04_2_H07,NA,NA,NA,NA,0.16327236989014343,-0.07948417866181355
PAMr_nr_mas_04_2_H08,NA,PA1015,NA,NA,-0.7434869666340721,-0.03920752005954065
PAMr_nr_mas_04_2_H09,PA14_35330,PA2262,NA,putative 2-ketogluconate transporter,-0.40100416947618506,0.4041989014931833
PAMr_nr_mas_04_2_H10,PA14_58630,PA4519,NA,putative ornithine decarboxylase,-0.5506321248932862,0.04112681829381816
PAMr_nr_mas_04_2_H11,PA14_19540,PA3445,NA,putative ABC-type transporter periplasmic sulfonate-binding protein,-0.6002987751873662,0.15642000832911732
PAMr_nr_mas_04_2_H12,NA,NA,NA,NA,0.11973246382775181,1.673965767171017
PAMr_nr_mas_04_3_A01,PA14_56730,PA4362,NA,conserved hypothetical protein,-0.21558146549094312,0.030137712240263896
PAMr_nr_mas_04_3_A02,PA14_71530,PA5420,purU2,formyltetrahydrofolate deformylase,0.17899573354213544,0.034385636884937634
PAMr_nr_mas_04_3_A03,PA14_01600,PA0130,NA,putative aldehyde dehydrogenase,-0.12126566434800289,0.2637332259147558
PAMr_nr_mas_04_3_A04,PA14_68610,PA5193,hslO,"putative chaperonin, 33 kDa",-1.229341396629095,-0.7198885908343654
PAMr_nr_mas_04_3_A05,PA14_24330,PA3079,NA,putative export protein,-0.6244095239683718,0.5001982118029081
PAMr_nr_mas_04_3_A07,PA14_16630,PA3692,NA,"putative outer membrane protein, OmpA",0.29229859847366435,0.6545501376998691
PAMr_nr_mas_04_3_A08,PA14_31470,PA2557,NA,putative acyl-CoA synthetases (AMP-forming),-1.2233535809784688,1.7976416039291363
PAMr_nr_mas_04_3_A09,PA14_55900,PA4303,NA,putative pilus assembly protein,0.04035718500871967,0.245361309595703
PAMr_nr_mas_04_3_A10,PA14_47250,PA1314,NA,conserved hypothetical protein,-1.649744340098469,1.3932930343323584
PAMr_nr_mas_04_3_A11,PA14_27580,PA2821,NA,putative glutathione S-transferase,-0.8233956492025334,0.2972049148716595
PAMr_nr_mas_04_3_A12,PA14_46010,PA1425,NA,putative ATP-binding component of ABC transporter,-1.429963056922825,2.367765033684482
PAMr_nr_mas_04_3_B01,NA,NA,NA,NA,-0.7641478535672439,0.36816890574082617
PAMr_nr_mas_04_3_B02,PA14_70950,PA5373,betB,betaine aldehyde dehydrogenase,0.5451940743252363,-0.4262083561771702
PAMr_nr_mas_04_3_B03,PA14_49320,PA1167,NA,hypothetical,0.4633638912722064,0.8245546385175425
PAMr_nr_mas_04_3_B04,PA14_43270,PA1643,NA,putative ATPase,0.4633638912722064,-0.1376645706798283
PAMr_nr_mas_04_3_B05,PA14_03100,NA,NA,hypothetical protein,0.3041368599472983,-0.19454431323179525
PAMr_nr_mas_04_3_B06,NA,NA,NA,NA,0.14115481285167936,0.3307494771834548
PAMr_nr_mas_04_3_B07,PA14_51590,NA,RS08,hypothetical protein,0.1774634778372722,-0.09372743336345539
PAMr_nr_mas_04_3_B08,PA14_45560,PA1460,NA,putative chemotaxis transmembrane proton channel,1.945726605605954,0.5946136528373202
PAMr_nr_mas_04_3_B09,PA14_24150,PA3093,PA3093,NA,1.213983132022748,0.4122318337321682
