"","strain","condition","OD","mean_absorb"
"283","JV271","Cinical isolate","OD695",0.0246666666666667
"284","JV272","Cinical isolate","OD695",0.002
"285","JV273","Cinical isolate","OD695",0.102666666666667
"286","JV274","Cinical isolate","OD695",0.02
"287","JV275","Cinical isolate","OD695",0.017
"288","JV276","Cinical isolate","OD695",0.024
"289","JV287","Cinical isolate","OD695",0.0443333333333333
"290","JV288","Cinical isolate","OD695",0.0116666666666667
"291","JV289","Cinical isolate","OD695",0.0196666666666667
"292","JV290","Cinical isolate","OD695",0.019
"293","JV291","Cinical isolate","OD695",0.003
"294","JV292","Cinical isolate","OD695",0.007
"295","JV294","Cinical isolate","OD695",0.0156666666666667
"296","JV296","Cinical isolate","OD695",0.00333333333333333
"297","JV297","Cinical isolate","OD695",0.00333333333333333
"298","JV298","Cinical isolate","OD695",0.00666666666666667
"299","JV299","Cinical isolate","OD695",0.0822
"300","JV301","Cinical isolate","OD695",0.01
"301","JV302","Cinical isolate","OD695",0.0516666666666667
"302","JV303","Cinical isolate","OD695",0.0186666666666667
"303","JV304","Cinical isolate","OD695",0.0343333333333333
"304","JV305","Cinical isolate","OD695",0.0246666666666667
"305","JV306","Cinical isolate","OD695",0.0823333333333333
"306","JV307","Cinical isolate","OD695",0.051
"307","JV308","Cinical isolate","OD695",0.00433333333333333
"308","JV309","Cinical isolate","OD695",0.022
"309","JV310","Cinical isolate","OD695",0.00233333333333333
"310","JV311","Cinical isolate","OD695",0.002
"311","JV312","Cinical isolate","OD695",0.0743333333333333
"312","JV313","Cinical isolate","OD695",0.003
"313","JV314","Cinical isolate","OD695",0.005
"314","JV315","Cinical isolate","OD695",0.0526666666666667
"315","JV316","Cinical isolate","OD695",0.038
"316","JV317","Cinical isolate","OD695",0.031
"317","JV318","Cinical isolate","OD695",0.036
"318","JV319","Cinical isolate","OD695",0.0103333333333333
"319","JV320","Cinical isolate","OD695",0.00566666666666667
"320","JV321","Cinical isolate","OD695",0.1256
"321","JV322","Cinical isolate","OD695",0.129
"322","JV323","Cinical isolate","OD695",0.000666666666666667
"323","JV324","Cinical isolate","OD695",0.0113333333333333
"324","JV325","Cinical isolate","OD695",0.026
"325","JV326","Cinical isolate","OD695",0.0193333333333333
"326","JV327","Cinical isolate","OD695",0.00366666666666667
"327","JV328","Cinical isolate","OD695",0.011
"328","JV329","Cinical isolate","OD695",0.00766666666666667
"329","JV330","Cinical isolate","OD695",0.00733333333333333
"330","JV331","Cinical isolate","OD695",0.053
"331","JV332","Cinical isolate","OD695",0.072
"332","JV333","Cinical isolate","OD695",0.0443333333333333
"333","JV334","Cinical isolate","OD695",0.012
"334","JV335","Cinical isolate","OD695",0.0526666666666667
"335","JV336","Cinical isolate","OD695",0.102666666666667
"336","JV337","Cinical isolate","OD695",0.0516666666666667
"337","JV340","Cinical isolate","OD695",0.024
"338","JV341","Cinical isolate","OD695",0.0536666666666667
"339","JV342","Cinical isolate","OD695",0.027
"340","JV382","Cinical isolate","OD695",0.00366666666666667
"341","JV384","Cinical isolate","OD695",0.016
"342","JV391","Cinical isolate","OD695",0.0403333333333333
"343","JV392","Cinical isolate","OD695",0.007
"344","JV393","Cinical isolate","OD695",0.06
"345","JV394","Cinical isolate","OD695",0.000666666666666667
"346","JV395","Cinical isolate","OD695",0.000666666666666667
"347","JV415","Cinical isolate","OD695",0.00833333333333333
"348","JV416","Cinical isolate","OD695",0.055
"349","JV417","Cinical isolate","OD695",0.000333333333333333
"350","JV418","Cinical isolate","OD695",0.001
"351","JV419","Cinical isolate","OD695",0.0303333333333333
"352","JV420","Cinical isolate","OD695",0.0186666666666667
"353","JV421","Cinical isolate","OD695",0.00666666666666667
"354","JV422","Cinical isolate","OD695",0.0223333333333333
"355","JV423","Cinical isolate","OD695",0.006
"356","JV424","Cinical isolate","OD695",0.108666666666667
