"","mouse","sex","vendor","inoculum","media","CFU_per_mL","fold_change","log_CI","trial","log_fold_change","log_CFU_per_mL","mean_log_fold_change","mean_log_CFU_per_mL","inoc_vendor"
"39","M1102","m","cr","JV1_JV462","Pa",2.2e+09,687.5,NA,"trial_1",2.8372727025023,9.34242268082221,15418.239333211,9.30168557261028,"JV1_JV462_cr"
"40","M1103","m","cr","JV1_JV462","Pa",2.4e+09,1000,NA,"trial_1",3,9.38021124171161,15418.239333211,9.30168557261028,"JV1_JV462_cr"
"41","M1104","m","cr","JV1_JV450","LB_rif",5.2e+08,113.04347826087,-0.135810724266824,"trial_2",2.05324551195323,8.7160033436348,119.951018131135,8.39430532962317,"JV1_JV450_cr"
"42","M1105","m","cr","JV1_JV450","LB_rif",5.6e+07,18.6666666666667,0.219914249839157,"trial_2",1.27106677228654,7.7481880270062,119.951018131135,8.39430532962317,"JV1_JV450_cr"
"43","M1106","m","cr","JV1_JV450","LB_rif",6.4e+08,133.333333333333,-2.23823916580453,"trial_2",2.1249387366083,8.80617997398389,119.951018131135,8.39430532962317,"JV1_JV450_cr"
"44","M1107","m","jax","JV1_JV450","LB_rif",4.6e+08,143.75,-0.097664651741638,"trial_2",2.15760785336167,8.66275783168157,119.951018131135,8.39430532962317,"JV1_JV450_jax"
"45","M1108","m","jax","JV1_JV450","LB_rif",6.2e+07,17.2222222222222,0.0422691627148538,"trial_2",1.23608918873097,7.79239168949825,119.951018131135,8.39430532962317,"JV1_JV450_jax"
"46","M1109","m","jax","JV1_JV450","LB_rif",5e+08,131.578947368421,-1.21180681132222,"trial_2",2.11918640771921,8.69897000433602,119.951018131135,8.39430532962317,"JV1_JV450_jax"
"47","M1104","m","cr","JV1_JV450","Pa",6.8e+08,154.545454545455,NA,"trial_2",2.18905623622005,8.83250891270624,5551.15622301514,9.47815081120972,"JV1_JV450_cr"
"48","M1105","m","cr","JV1_JV450","Pa",5.4e+07,11.25,NA,"trial_2",1.05115252244738,7.73239375982297,5551.15622301514,9.47815081120972,"JV1_JV450_cr"
"49","M1106","m","cr","JV1_JV450","Pa",6e+10,23076.9230769231,NA,"trial_2",4.36317790241283,10.7781512503836,5551.15622301514,9.47815081120972,"JV1_JV450_cr"
